标题,链接,作者,出发日期,天数,照片数,人数,玩法,费用,阅读数,点赞数,评论数
北京七日自由游,https://travel.qunar.com/youji/6460565,兔羊一起看世...,2016-06-21 出发,共7天,245张照片,家庭,古镇,人均1500元,1.4万,69,9
北京4日游,https://travel.qunar.com/youji/7630197,冉冉升起,2020-10-22 出发,共4天,171张照片,,,,601,5,4
一家老小向前冲      6天5晚北京每天3万步暴走游,https://travel.qunar.com/youji/7507765,珊山,2019-07-14 出发,共6天,54张照片,家庭,美食 暑假 第一次,人均5000元,76.9万,52,7
北京7日游,https://travel.qunar.com/youji/6790912,白洁雨,2017-04-19 出发,共7天,83张照片,,美食,,1.1万,3,0
我从天安门前走过,https://travel.qunar.com/youji/6423975,ever_jia,2016-05-26 出发,共5天,120张照片,,美食,,7566,34,0
2020-1🈷️6-9日四日游🔛北京之行,https://travel.qunar.com/youji/7563202,渺渺玲儿俊,2020-01-05 出发,共4天,30张照片,,,人均1500元,8400,5,0
一次有意义的春之游，奥森走起,https://travel.qunar.com/youji/6496902,江枫渔火JFYH,2016-04-04 出发,共1天,143张照片,亲子,,,3745,4,4
疯小妞北京4日游,https://travel.qunar.com/youji/6595546,游客,2016-10-09 出发,共4天,171张照片,独自一人,购物 美食 自驾,人均2000元,1.9万,63,3
国庆北京6日游,https://travel.qunar.com/youji/6591061,lcnp1689,2016-09-30 出发,共7天,165张照片,,国庆,,5784,3,0
带着孩子游北京(5日游记，内有美食！),https://travel.qunar.com/youji/6889331,joycedaidai,2017-08-13 出发,共5天,88张照片,亲子,美食,人均2500元,7045,23,25
西藏，我的朝圣之旅,https://travel.qunar.com/youji/5729795,jinjin889,2015-07-13 出发,共13天,142张照片,三五好友,美食,人均7500元,2.1万,93,14
北方小乌镇 古北水镇,https://travel.qunar.com/youji/4660285,家里略-穷,2014-08-30 出发,共2天,199张照片,家庭,自驾,人均400元,7.1万,350,12
金秋十月，陪你在帝都的街头走一走……,https://travel.qunar.com/youji/7485570,冷眼看花,2018-10-04 出发,共4天,128张照片,亲子,美食 赏秋 人文 国庆,人均1500元,6913,12,0
萤火之森般的美丽,https://travel.qunar.com/youji/5953333,小背影儿爱旅...,2015-08-08 出发,共2天,248张照片,三五好友,,,8666,10,14
北平之秋便是天堂,https://travel.qunar.com/youji/5793265,专业摄影师天...,2013-10-30 出发,共6天,223张照片,独自一人,,,1.7万,32,4
5日游,https://travel.qunar.com/youji/7480673,礼伢子,2019-05-07 出发,共5天,106张照片,亲子,深度游 第一次,人均3000元,6550,40,6
说走就走的北京行,https://travel.qunar.com/youji/5928320,1524120723,2015-09-16 出发,共6天,163张照片,闺蜜,美食,人均3300元,5031,8,1
带着家人 春节游北京,https://travel.qunar.com/youji/5218542,knlx0244,2015-02-19 出发,共7天,249张照片,家庭,春节,人均1000元,5.9万,455,14
北京【怀柔-密云】云梦仙境与清凉谷,https://travel.qunar.com/youji/7594282,步青,2020-05-10 出发,共1天,116张照片,三五好友,短途周末 摄影 夏季 徒步 探险,人均100元,8204,16,0
五月天里的北京 天蓝云白,https://travel.qunar.com/youji/5537310,cecilia汪汪,2015-05-16 出发,共7天,162张照片,情侣,购物 美食,人均3600元,7721,34,14
暴走北京城,https://travel.qunar.com/youji/5996771,Greedybear,2015-10-20 出发,共8天,243张照片,家庭,短途周末,人均2500元,7912,25,12
看不见的颐和园，一文览四季，七年淬炼记录美景，持续更新...,https://travel.qunar.com/youji/6844392,秋水影像,2017-06-15 出发,共1天,154张照片,独自一人,摄影,,8681,30,26
周末 火车开到了紫禁城,https://travel.qunar.com/youji/6601270,maoy7279,2014-04-19 出发,共2天,58张照片,亲子,短途周末,,7633,3,0
带上相机，去看不一样的京城金秋,https://travel.qunar.com/youji/5778135,uzzo1355,2014-10-26 出发,共8天,364张照片,,赏秋,,8520,16,16
跟着beebee去京城~~,https://travel.qunar.com/youji/2970376,here查无此人,2014-02-17 出发,共6天,240张照片,,美食,,3.9万,153,18
无名无姓,https://travel.qunar.com/youji/7076762,ktsz6707,2018-08-02 出发,共5天,152张照片,亲子,深度游 暑假,人均4000元,3491,9,1
北京六天自由行,https://travel.qunar.com/youji/7416974,飞鸟的梦想_p...,2018-10-16 出发,共6天,91张照片,家庭,深度游 国庆,人均2000元,9975,37,0
北京，不变的情怀,https://travel.qunar.com/youji/6475666,穆昱涿,2015-06-24 出发,共5天,129张照片,,,,5564,6,3
感受历史文化底蕴浓厚的大帝都~~~吃喝玩乐10日北京自由行,https://travel.qunar.com/youji/6849577,rochers,2016-08-29 出发,共11天,411张照片,独自一人,美食 摄影 人文,人均3000元,4920,11,12
说走就走的“爱情”,https://travel.qunar.com/youji/5510289,小破井,2013-06-28 出发,共11天,177张照片,家庭,古镇,人均8000元,2271,4,20
少年，你敢一人独转帝都吗？让我们一起做游渡少女吧！Beijing&裴渡,https://travel.qunar.com/youji/7014372,裴渡,2018-02-23 出发,共6天,166张照片,独自一人,美食 摄影 徒步 人文,,5063,17,1
【北京】穷学生的冬日北京散策x四日,https://travel.qunar.com/youji/6177299,派朵,2015-12-11 出发,共4天,104张照片,三五好友,美食 冬季,人均2000元,7663,35,2
带着老爸游北京,https://travel.qunar.com/youji/7023996,哈雪国,2018-04-10 出发,共7天,39张照片,家庭,人文,人均2500元,3691,19,2
[苍茫紫禁城]海量美图一睹京城古都雪景,https://travel.qunar.com/youji/6153187,猫眼圣骑,2015-11-22 出发,共3天,178张照片,独自一人,短途周末,人均200元,1.1万,24,23
北京，北京,https://travel.qunar.com/youji/4178165,巴特的神,2013-05-25 出发,共8天,114张照片,,购物 美食,,2.5万,96,13
从天安门到鲜鱼口,https://travel.qunar.com/youji/6033693,偶爱嘉年华,2015-11-01 出发,共1天,245张照片,,美食 短途周末,,7645,9,5
一个人的北京游记,https://travel.qunar.com/youji/6111708,hingnaix,2015-11-15 出发,共9天,122张照片,独自一人,美食,人均3700元,7109,15,1
北京非正式游,https://travel.qunar.com/youji/5723337,tnjp3858,2015-07-20 出发,共11天,257张照片,独自一人,美食,,7219,11,1
京城春色掠影,https://travel.qunar.com/youji/5792746,专业摄影师天...,2014-04-03 出发,共6天,254张照片,独自一人,,,5614,4,7
欢乐谷多陪陪和你一样单身的好姑娘（超强的欢乐谷游玩、拍照攻略）,https://travel.qunar.com/youji/6909148,qlz1111,2016-06-16 出发,共1天,88张照片,,,人均350元,4800,31,12
在即将开放的园博园中长走,https://travel.qunar.com/youji/5933725,梁lsh,2013-05-05 出发,共1天,158张照片,家庭,短途周末,人均8元,3938,3,7
我眼中的帝都,https://travel.qunar.com/youji/6596238,醉在异乡,2014-08-01 出发,共6天,154张照片,家庭,美食 徒步 人文,人均2200元,6793,15,1
跟着课本去旅行！——北京，五一亲子游！,https://travel.qunar.com/youji/7478036,品品813,2019-04-30 出发,共5天,79张照片,亲子,深度游 购物 美食 漫游 五一 摄影 人文 第一次,人均3000元,3.3万,399,27
北京6天自由行,https://travel.qunar.com/youji/5554271,kivy3049,2015-05-16 出发,共6天,51张照片,闺蜜,美食,人均2500元,1.5万,87,47
别样北京，四季风韵,https://travel.qunar.com/youji/5685505,cobra_tian,2014-03-01 出发,共10天,330张照片,独自一人,冬季,,6533,12,1
乱指路的小太阳——北京之行6天5晚,https://travel.qunar.com/youji/6732193,糖色1,2017-01-28 出发,共6天,286张照片,家庭,购物 美食 摄影 徒步 人文,,6605,28,11
北京8日游,https://travel.qunar.com/youji/6742977,周小爬,2016-05-07 出发,共7天,253张照片,闺蜜,美食,人均5000元,4770,3,3
北京四日吃货游,https://travel.qunar.com/youji/6835780,胖墩墩的王好...,2017-05-25 出发,共4天,209张照片,三五好友,美食,,5.4万,319,51
首都小游,https://travel.qunar.com/youji/4746980,maggie85561,2014-02-01 出发,共5天,109张照片,情侣,美食,人均2500元,1.6万,111,8
北京8日游,https://travel.qunar.com/youji/7513806,东东的西西,2019-07-10 出发,共8天,182张照片,三五好友,深度游 穷游 美食 暑假 第一次,人均2200元,3449,26,2
北京，你用雾霾欢迎我,https://travel.qunar.com/youji/6394633,ccerzhang,2015-09-26 出发,共5天,172张照片,情侣,短途周末,人均2000元,1.9万,41,16
在北京，就这样走走停停。—路遥出品,https://travel.qunar.com/youji/6146675,路遥suvan,2015-10-10 出发,共7天,186张照片,独自一人,美食 短途周末,,2万,46,35
One Month In BeiJing,https://travel.qunar.com/youji/6919594,动感1琳1,2009-10-20 出发,共30天,19张照片,,温泉 人文,,5510,2,9
Th1s is BEIJING | 来了您？二环以里的胡同新风尚,https://travel.qunar.com/youji/7528332,in老板殷倩,2019-09-08 出发,共4天,160张照片,三五好友,深度游 美食 骑行 短途周末,人均5000元,2.7万,25,3
北京人文之旅全攻略,https://travel.qunar.com/youji/6464361,崔大宝宝宝,2016-07-08 出发,共4天,25张照片,三五好友,自驾 人文,人均800元,1.1万,47,10
跟小青年，玩转文艺北京,https://travel.qunar.com/youji/5776208,六六壹,2015-08-07 出发,共4天,171张照片,三五好友,购物 美食,人均1000元,12.5万,346,20
北京之北最美世界地质公园自驾攻略,https://travel.qunar.com/youji/7639741,孙铭-北京,2020-08-07 出发,共4天,98张照片,三五好友,自驾,,298,50,4
"故地重游北平城,再见你的斑驳之美",https://travel.qunar.com/youji/6002857,沛灵结庐,2015-10-30 出发,共2天,101张照片,独自一人,,,5794,2,1
芬芳五月，陪伴父母游北京!,https://travel.qunar.com/youji/7039732,ysl7178,2018-05-16 出发,共5天,30张照片,家庭,漫游,人均2500元,2779,17,0
【环游中国】400元3天穷游在帝都,https://travel.qunar.com/youji/4066131,周杨fly,2012-08-30 出发,共3天,153张照片,,环游 穷游 美食,,10.6万,398,48
房山赏兰大会,https://travel.qunar.com/youji/6053171,梁lsh,2015-10-04 出发,共1天,239张照片,,短途周末,,6661,7,4
娘仨勇闯紫禁城,https://travel.qunar.com/youji/4486467,大杰嫚,2014-09-16 出发,共5天,339张照片,,,,1.7万,62,14
来我大天朝的首都北京看看吧,https://travel.qunar.com/youji/6583211,然后酱,2016-07-01 出发,共6天,85张照片,三五好友,,人均3000元,5061,9,2
皇城下的时光-6天北京古都文化之旅,https://travel.qunar.com/youji/2838505,evilopp,2014-01-15 出发,共5天,41张照片,,购物 美食,,16.6万,160,117
北京美食之旅,https://travel.qunar.com/youji/4657008,fnmk8502,2014-09-11 出发,共5天,214张照片,情侣,美食,人均3500元,2.2万,128,11
三次北京自驾行,https://travel.qunar.com/youji/5482624,kbgx2788,2013-10-26 出发,共5天,126张照片,,自驾,,2万,31,7
那些年 我所向往的北京,https://travel.qunar.com/youji/6887202,游客,2017-06-07 出发,共10天,265张照片,家庭,古镇 毕业游 人文,人均3000元,3666,19,27
一个人，一座城,https://travel.qunar.com/youji/5410327,阳光下微笑-M...,2015-04-04 出发,共4天,77张照片,独自一人,购物 美食,人均2300元,9109,60,25
野生动物乐园——（散游大兴野生动物园）,https://travel.qunar.com/youji/6699914,水天一色lyj,2015-10-17 出发,共1天,156张照片,家庭,短途周末 摄影,,7369,22,11
6810组合北京之旅,https://travel.qunar.com/youji/6511589,茗轩妈妈,2016-05-11 出发,共5天,15张照片,亲子,购物 美食 人文,人均2000元,4303,20,15
小伟子与老婆大人的帝都5日游,https://travel.qunar.com/youji/5486865,cc208,2015-05-01 出发,共5天,115张照片,情侣,美食,人均3000元,1.3万,76,20
你那么美，后悔没有早一点认识你【园博园】+【中国园林博物馆】,https://travel.qunar.com/youji/6807927,sghssesse,2017-04-16 出发,共1天,32张照片,亲子,短途周末,,9641,18,10
探索艺术的魅力——中国美术馆,https://travel.qunar.com/youji/5822592,四海翁,2015-05-30 出发,共9天,254张照片,,探险,,8638,5,3
2015年冬，雪的印记之颐和园徜徉篇,https://travel.qunar.com/youji/6746159,梁lsh,2015-11-22 出发,共1天,186张照片,,,,3593,0,3
背着你在路上之北京篇,https://travel.qunar.com/youji/7389979,坚果麻麻,2018-08-19 出发,共6天,155张照片,家庭,暑假 第一次,人均3000元,4450,21,6
十一国庆全家老小北京6日游,https://travel.qunar.com/youji/6924002,一帆风顺的窝,2017-09-30 出发,共7天,66张照片,家庭,美食 漫游 国庆,,6179,3,6
慕田峪长城旅游2018最新攻略”，告诉您慕田峪长城怎么去，怎么玩？,https://travel.qunar.com/youji/7393812,长城漫步者,2018-09-12 出发,共1天,35张照片,三五好友,深度游 漫游 登山 探险 赏秋,人均150元,5.2万,159,18
趁长辈身体还硬朗，带他们去游北京吧,https://travel.qunar.com/youji/6016644,青鸟孤飞祭,2015-07-23 出发,共5天,52张照片,家庭,,人均3300元,1.3万,46,7
私家珍藏，记录小众北京,https://travel.qunar.com/youji/5078471,鹿妹儿喵喵喵,2014-04-26 出发,共6天,114张照片,情侣,购物 美食,,1.6万,121,7
周末不宅家，三天二夜尝遍北京美食，看尽帝都美景,https://travel.qunar.com/youji/7441654,在路上的小羊,2019-01-02 出发,共3天,159张照片,情侣,美食 短途周末 摄影 冬季 人文,人均3000元,4.2万,206,6
情怀北京，吃玩全程，小众行,https://travel.qunar.com/youji/6794754,西贝若若,2016-09-28 出发,共4天,91张照片,情侣,美食 古镇 摄影,,7.2万,356,35
看京城民俗，悟华夏文明,https://travel.qunar.com/youji/5793077,专业摄影师天...,2014-02-10 出发,共3天,186张照片,独自一人,,,4228,7,3
盘点北京最值得去的艺术展览馆,https://travel.qunar.com/youji/7042871,Monkey_Fong,2018-05-28 出发,共1天,39张照片,三五好友,清明 穷游 中秋节 寒假 端午 婚纱 自驾 五一 暑假 夏季 短途周末 踏春 摄影 冬季 赏秋 人文 国庆,人均100元,1.3万,11,1
北京5日游-带父母,https://travel.qunar.com/youji/7562838,森境遗失,2019-12-26 出发,共5天,46张照片,家庭,穷游 冬季,人均2300元,1.7万,30,4
五天四夜北京自由行,https://travel.qunar.com/youji/6599154,JOJO_LIU,2016-07-06 出发,共5天,184张照片,独自一人,,,1.8万,33,0
李先生，我去[北京]找你！,https://travel.qunar.com/youji/5366545,咩咩嗲,2015-04-03 出发,共4天,191张照片,亲子,短途周末,人均1000元,8476,14,2
慕田峪长城怎么去？2020年带你欣赏不一样的慕田峪长城！,https://travel.qunar.com/youji/7583245,倾城时光1314,2019-03-20 出发,共1天,55张照片,三五好友,,人均200元,15.3万,60,21
2020国庆北京5日家庭自助游,https://travel.qunar.com/youji/7624799,Cathay,2020-10-03 出发,共5天,35张照片,家庭,深度游 美食 中秋节 徒步 国庆 第一次,人均1668元,5720,19,0
2019初夏 遇见古都--北京西安,https://travel.qunar.com/youji/7507176,Li行记,2019-06-09 出发,共9天,170张照片,独自一人,深度游 古镇 摄影 夏季,人均3000元,1372,3,1
冬日里的暖阳胡同口的笑，这就是我心目中的北京呀,https://travel.qunar.com/youji/6964491,郭文文530,2017-12-15 出发,共3天,157张照片,亲子,圣诞 夏季 短途周末 冬季,人均700元,2万,263,31
我的试睡旅程-流水账-北京橡树公馆,https://travel.qunar.com/youji/7397697,qunar用户,2018-09-18 出发,共3天,41张照片,独自一人,美食 赏秋 探险,人均999元,3756,10,7
【小璞】和你相约北京的盛夏与初秋,https://travel.qunar.com/youji/7009626,小璞kappa,2016-11-04 出发,共6天,292张照片,家庭,美食 夏季 赏秋,人均5000元,3499,9,0
带着老爸老妈逛帝都～我的暴走＋摔跤之旅,https://travel.qunar.com/youji/5950185,dgre7979,2015-09-30 出发,共5天,57张照片,家庭,购物 美食,人均3500元,7655,34,5
邂逅北京——伪文青游帝都,https://travel.qunar.com/youji/5958350,行者DAZHI,2015-01-31 出发,共3天,133张照片,独自一人,美食,人均1000元,8804,13,10
